Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:es,Short name:en,Short name:es,Description:en,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1700
f0000001-0000-4000-8000-000000000001,,,SIH.SALUS screening result,Resultado de tamizaje SIH.SALUS,Screening result,Resultado tamizaje,,,Question,Coded,,f0000101-0000-4000-8000-000000000101;f0000102-0000-4000-8000-000000000102;f0000103-0000-4000-8000-000000000103;f0000104-0000-4000-8000-000000000104,,,,,,,,,
f0000002-0000-4000-8000-000000000002,,,SIH.SALUS clinical notes,Notas clínicas SIH.SALUS,Clinical notes,Notas clínicas,,,Question,Text,,,,,,,,,,,
f0000003-0000-4000-8000-000000000003,,,SIH.SALUS management plan,Plan de manejo SIH.SALUS,Management plan,Plan manejo,,,Question,Text,,,,,,,,,,,
f0000004-0000-4000-8000-000000000004,,,SIH.SALUS next appointment date,Fecha de próxima cita SIH.SALUS,Next appointment,Próxima cita,,,Question,Date,,,,,,,,,,,
f0000005-0000-4000-8000-000000000005,,,SIH.SALUS referral required,Requiere referencia SIH.SALUS,Referral required,Requiere referencia,,,Question,Coded,,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,,
f0000006-0000-4000-8000-000000000006,,,SIH.SALUS instrument used,Instrumento utilizado SIH.SALUS,Instrument used,Instrumento,,,Question,Coded,,f0000111-0000-4000-8000-000000000111;f0000112-0000-4000-8000-000000000112;f0000113-0000-4000-8000-000000000113;f0000114-0000-4000-8000-000000000114;f0000115-0000-4000-8000-000000000115;f0000116-0000-4000-8000-000000000116;f0000117-0000-4000-8000-000000000117,,,,,,,,,
f0000007-0000-4000-8000-000000000007,,,SIH.SALUS score,Puntaje SIH.SALUS,Score,Puntaje,,,Question,Numeric,,,,TRUE,,,,,,,
f0000008-0000-4000-8000-000000000008,,,SIH.SALUS warning signs,Signos de alarma SIH.SALUS,Warning signs,Signos alarma,,,Question,Text,,,,,,,,,,,
f0000009-0000-4000-8000-000000000009,,,SIH.SALUS nutrition classification,Clasificación nutricional SIH.SALUS,Nutrition classification,Clasificación nutricional,,,Question,Coded,,f0000121-0000-4000-8000-000000000121;f0000122-0000-4000-8000-000000000122;f0000123-0000-4000-8000-000000000123;f0000124-0000-4000-8000-000000000124;f0000125-0000-4000-8000-000000000125,,,,,,,,,
f0000010-0000-4000-8000-000000000010,,,SIH.SALUS feeding practice,Práctica alimentaria SIH.SALUS,Feeding practice,Práctica alimentaria,,,Question,Text,,,,,,,,,,,
f0000011-0000-4000-8000-000000000011,,,SIH.SALUS counseling provided,Consejería brindada SIH.SALUS,Counseling provided,Consejería brindada,,,Question,Coded,,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,,
f0000012-0000-4000-8000-000000000012,,,SIH.SALUS violence screening result,Resultado de tamizaje de violencia SIH.SALUS,Violence screening,Tamizaje violencia,,,Question,Coded,,f0000131-0000-4000-8000-000000000131;f0000132-0000-4000-8000-000000000132;f0000133-0000-4000-8000-000000000133,,,,,,,,,
f0000013-0000-4000-8000-000000000013,,,SIH.SALUS mental health screening result,Resultado de salud mental SIH.SALUS,Mental health result,Resultado salud mental,,,Question,Coded,,f0000101-0000-4000-8000-000000000101;f0000102-0000-4000-8000-000000000102;f0000103-0000-4000-8000-000000000103,,,,,,,,,
f0000014-0000-4000-8000-000000000014,,,SIH.SALUS contraceptive method,Método anticonceptivo SIH.SALUS,Contraceptive method,Método anticonceptivo,,,Question,Coded,,f0000141-0000-4000-8000-000000000141;f0000142-0000-4000-8000-000000000142;f0000143-0000-4000-8000-000000000143;f0000144-0000-4000-8000-000000000144;f0000145-0000-4000-8000-000000000145;f0000146-0000-4000-8000-000000000146;f0000147-0000-4000-8000-000000000147,,,,,,,,,
f0000015-0000-4000-8000-000000000015,,,SIH.SALUS adverse effects,Efectos adversos SIH.SALUS,Adverse effects,Efectos adversos,,,Question,Text,,,,,,,,,,,
